issueId,lineText,filePath,message,resultDataId,language,lineNumber,toolInfo,fileId,patternInfo
c71193132cbf8d0301fefd0a9748c2f4,<pre><code>,.github/ISSUE_TEMPLATE/bug-report.md,Element: pre,131179919079,Markdown,44,"{'uuid': '547ff16b-d57c-4d75-8067-5ccf3ea88a00', 'name': 'markdownlint'}",111541749392,"{'id': 'markdownlint_MD033', 'category': 'CodeStyle', 'level': 'Info', 'severityLevel': 'Info'}"
2f6dc9e2c55a78c8bc5289b19105e70e,# :bug: Bug report,.github/ISSUE_TEMPLATE/bug-report.md,Multiple top-level headings in the same document,131179919078,Markdown,19,"{'uuid': '547ff16b-d57c-4d75-8067-5ccf3ea88a00', 'name': 'markdownlint'}",111541749392,"{'id': 'markdownlint_MD025', 'category': 'CodeStyle', 'level': 'Info', 'severityLevel': 'Info'}"
ae7e028df22d9743de011a4f096ad2b2,### Description,.github/ISSUE_TEMPLATE/challenge-idea.md,Expected: h2; Actual: h3,131179919081,Markdown,19,"{'uuid': '547ff16b-d57c-4d75-8067-5ccf3ea88a00', 'name': 'markdownlint'}",111541748681,"{'id': 'markdownlint_MD001', 'category': 'CodeStyle', 'level': 'Info', 'severityLevel': 'Info'}"
639f5ccd4039c894ef122bbfd449663c,# :star: Challenge idea,.github/ISSUE_TEMPLATE/challenge-idea.md,Multiple top-level headings in the same document,131179919080,Markdown,17,"{'uuid': '547ff16b-d57c-4d75-8067-5ccf3ea88a00', 'name': 'markdownlint'}",111541748681,"{'id': 'markdownlint_MD025', 'category': 'CodeStyle', 'level': 'Info', 'severityLevel': 'Info'}"
fe0e8b63602e0745bfb92b5f1ce6b92e,### Description,.github/ISSUE_TEMPLATE/feature-request.md,Expected: h2; Actual: h3,131179918874,Markdown,19,"{'uuid': '547ff16b-d57c-4d75-8067-5ccf3ea88a00', 'name': 'markdownlint'}",111541748883,"{'id': 'markdownlint_MD001', 'category': 'CodeStyle', 'level': 'Info', 'severityLevel': 'Info'}"
e55fcca7971821a5e6ce41daa9410c96,# :rocket: Feature request,.github/ISSUE_TEMPLATE/feature-request.md,Multiple top-level headings in the same document,131179918868,Markdown,17,"{'uuid': '547ff16b-d57c-4d75-8067-5ccf3ea88a00', 'name': 'markdownlint'}",111541748883,"{'id': 'markdownlint_MD025', 'category': 'CodeStyle', 'level': 'Info', 'severityLevel': 'Info'}"
44b8e4153c445676c0fd9e69b9f0aca5,FROM gcr.io/distroless/nodejs20-debian11,Dockerfile,Always tag the version of an image explicitly,131179919187,Dockerfile,31,"{'uuid': 'd3ec07a8-71b3-4b89-a25e-9c32ef827668', 'name': 'Hadolint'}",111541749013,"{'id': 'Hadolint_DL3006', 'category': 'ErrorProne', 'level': 'Warning', 'severityLevel': 'Warning'}"
2279b63dbc18d319fd50eff069317542,RUN apt-get update && apt-get install -y build-essential python3,Dockerfile,Pin versions in apt get install. Instead of `apt-get install <package>` use `apt-get install <package>=<version>`,131179919188,Dockerfile,25,"{'uuid': 'd3ec07a8-71b3-4b89-a25e-9c32ef827668', 'name': 'Hadolint'}",111541749013,"{'id': 'Hadolint_DL3008', 'category': 'ErrorProne', 'level': 'Warning', 'severityLevel': 'Warning'}"
7265381afb7b7b08729ba254b70f3dfe,RUN apt-get update && apt-get install -y build-essential python3,Dockerfile,Avoid additional packages by specifying `--no-install-recommends`,131179919190,Dockerfile,25,"{'uuid': 'd3ec07a8-71b3-4b89-a25e-9c32ef827668', 'name': 'Hadolint'}",111541749013,"{'id': 'Hadolint_DL3015', 'category': 'Security', 'level': 'Info', 'severityLevel': 'Info', 'subCategory': 'InsecureModulesLibraries'}"
87e6b132563d1d09b21bd50b37791b4d,RUN rm -rf node_modules/libxmljs2/build && \,Dockerfile,Use WORKDIR to switch to a directory,131179919189,Dockerfile,27,"{'uuid': 'd3ec07a8-71b3-4b89-a25e-9c32ef827668', 'name': 'Hadolint'}",111541749013,"{'id': 'Hadolint_DL3003', 'category': 'ErrorProne', 'level': 'Warning', 'severityLevel': 'Warning'}"
